step_id,task_name,op_type,predecessors,std_duration,time_variance,work_load_score,rework_prob,required_workers,required_tools
C107,低压转子复测平衡,M,C106,50,8,5,0.05,2,动平衡机
C108,低压静子组件装配,A,P026;P041,70,10,6,0,2,装配台
C109,低压模块间隙调整,M,C107;C108,45,8,5,0.06,2,塞尺
C201,高压转子吊装定位,H,P032;P041,30,5,8,0,3,吊车;装配台
C202,高压一级叶片安装,A,C201;P031,75,10,7,0,2,叶片安装夹具
C203,高压二级叶片安装,A,C202,75,10,7,0,2,叶片安装夹具
C204,高压三级叶片安装,A,C203,75,10,7,0,2,叶片安装夹具
C205,高压四级叶片安装,A,C204,75,10,7,0,2,叶片安装夹具
C206,高压转子平衡测试,M,C205,65,10,5,0.10,2,动平衡机
C207,高压转子配重调整,A,C206,30,5,5,0,1,手动工具
C208,高压转子复测平衡,M,C207,55,8,5,0.06,2,动平衡机
C209,高压静子组件装配,A,P026;P041,75,10,6,0,2,装配台
C210,高压模块间隙调整,M,C208;C209,50,8,5,0.06,2,塞尺
B301,燃烧室内衬检查,M,P026,35,6,4,0.04,1,检测台
B302,燃烧室组件装配,A,B301;P041,90,12,6,0,2,装配台
B303,喷油嘴安装,A,B302,45,6,5,0,2,扭矩扳手
B304,点火器安装座装配,A,B302,35,5,5,0,1,扭矩扳手
B305,燃烧室密封检查,M,B303;B304,40,6,5,0.06,2,气密检测台
B306,燃烧室热障涂层检查,M,B305,30,5,4,0.04,1,检测台
T401,高压涡轮盘检查,M,P022,40,6,5,0.04,2,检测台
T402,高压涡轮叶片安装,A,T401;P031,100,15,8,0,2,叶片安装夹具
T403,高压涡轮叶片锁紧,T,T402,35,5,6,0,2,专用工具
T404,高压涡轮平衡测试,M,T403,60,10,5,0.08,2,动平衡机
T405,高压涡轮配重,A,T404,25,5,5,0,1,手动工具
T406,高压涡轮复测,M,T405,50,8,5,0.05,2,动平衡机
T407,高压涡轮导向器装配,A,P026;P041,55,8,6,0,2,装配台
T408,高压涡轮间隙调整,M,T406;T407,45,8,5,0.06,2,塞尺
T501,低压涡轮盘检查,M,P022,40,6,5,0.04,2,检测台
T502,低压涡轮叶片安装,A,T501;P031,95,12,8,0,2,叶片安装夹具
T503,低压涡轮叶片锁紧,T,T502,35,5,6,0,2,专用工具
T504,低压涡轮平衡测试,M,T503,55,10,5,0.08,2,动平衡机
T505,低压涡轮配重,A,T504,25,5,5,0,1,手动工具
T506,低压涡轮复测,M,T505,45,8,5,0.05,2,动平衡机
T507,低压涡轮导向器装配,A,P026;P041,50,8,6,0,2,装配台
T508,低压涡轮间隙调整,M,T506;T507,40,8,5,0.06,2,塞尺
G601,齿轮箱壳体检查,M,P026,30,5,4,0.03,1,检测台
G602,主传动齿轮安装,A,G601;P041,60,8,6,0,2,装配台
G603,附件传动齿轮安装,A,G602,50,8,6,0,2,装配台
G604,齿轮箱轴承安装,A,G603,45,6,6,0,2,压装机
G605,齿轮箱密封安装,A,G604,35,5,5,0,1,
G606,齿轮箱间隙测量,M,G605,40,6,5,0.05,2,塞尺
G607,齿轮箱盖板装配,A,G606,30,5,5,0,2,扭矩扳手
G608,齿轮箱功能测试,M,G607,45,8,5,0.06,2,功能测试台
F701,燃油泵检查,M,P028,35,6,4,0.04,1,功能测试台
F702,燃油控制器检查,M,P028,40,6,4,0.05,1,功能测试台
F703,燃油管路预装配,A,P027;P041,50,8,5,0,2,装配台
F704,燃油滤清器安装,A,F703,25,4,4,0,1,
F705,燃油系统气密测试,M,F701;F702;F704,45,8,5,0.06,2,气密检测台
O801,滑油泵检查,M,P028,30,5,4,0.04,1,功能测试台
O802,滑油滤清器检查,M,P028,20,4,3,0.03,1,
O803,滑油管路预装配,A,P027;P041,45,6,5,0,2,装配台
O804,滑油散热器检查,M,P028,30,5,4,0.04,1,
O805,滑油系统气密测试,M,O801;O802;O803;O804,40,6,5,0.05,2,气密检测台
I901,点火器检查,M,P028,25,4,4,0.05,1,功能测试台
I902,高能点火线圈检查,M,P028,20,4,4,0.04,1,功能测试台
I903,点火系统预装配,A,I901;I902;P041,35,5,5,0,1,装配台
I904,点火系统功能测试,M,I903,30,5,4,0.06,1,功能测试台
A1001,进气道检查,M,P026,30,5,4,0.03,1,检测台
A1002,进气导流叶片安装,A,A1001;P041,55,8,6,0,2,装配台
A1003,进气道密封安装,A,A1002,30,5,5,0,1,
A1004,进气系统检测,M,A1003,35,6,4,0.04,2,检测台
Z101,核心机装配台准备,T,C109;C210;B306;T408,40,6,6,0,2,总装台
Z102,高压压气机模块吊装,H,Z101,35,6,9,0,4,吊车;总装台
Z103,燃烧室模块对接,A,Z102,60,10,7,0,3,总装台
Z104,燃烧室对接间隙调整,M,Z103,40,6,5,0.05,2,塞尺
Z105,高压涡轮模块对接,A,Z104,55,8,7,0,3,总装台
Z106,高压涡轮对接间隙调整,M,Z105,45,8,5,0.06,2,塞尺
Z107,核心机转子同轴度校正,M,Z106,60,10,5,0.08,2,百分表;磁力座
Z201,低压压气机模块吊装,H,Z107,40,6,9,0,4,吊车;总装台
Z202,低压压气机对接紧固,A,Z201,50,8,7,0,3,扭矩扳手
Z203,低压系统间隙调整,M,Z202,45,8,5,0.06,2,塞尺
Z204,低压涡轮模块吊装,H,Z203;T508,40,6,9,0,4,吊车;总装台
Z205,低压涡轮对接紧固,A,Z204,50,8,7,0,3,扭矩扳手
Z206,低压涡轮间隙调整,M,Z205,45,8,5,0.06,2,塞尺
Z207,整机转子同轴度复测,M,Z206,55,10,5,0.06,2,百分表;磁力座
Z301,外机匣吊装定位,H,Z207,45,8,8,0,4,吊车;总装台
Z302,外机匣紧固,A,Z301,60,10,7,0,3,扭矩扳手
Z303,齿轮箱模块安装,A,Z302;G608,50,8,7,0,3,扭矩扳手
Z304,燃油泵安装,A,Z303;F705,35,6,6,0,2,扭矩扳手
Z305,滑油泵安装,A,Z303;O805,35,6,6,0,2,扭矩扳手
Z306,发电机安装,A,Z303,40,6,6,0,2,扭矩扳手
Z307,液压泵安装,A,Z303,35,6,6,0,2,扭矩扳手
Z308,起动机安装,A,Z303,40,6,6,0,2,扭矩扳手
Z401,燃油系统管路连接,A,Z304,70,10,6,0,2,扭矩扳手
Z402,滑油系统管路连接,A,Z305,65,10,6,0,2,扭矩扳手
Z403,液压系统管路连接,A,Z307,55,8,6,0,2,扭矩扳手
Z404,冷却气路连接,A,Z302,50,8,5,0,2,
Z405,排气系统连接,A,Z302,45,6,5,0,2,
Z406,管路系统气密测试,M,Z401;Z402;Z403;Z404;Z405,60,10,5,0.08,2,气密检测台
Z501,点火系统安装,A,Z302;I904,45,6,5,0,2,
Z502,主线束安装,A,Z302,60,10,5,0,2,
Z503,传感器安装,A,Z502,55,8,5,0,2,
Z504,FADEC控制器安装,A,Z503,40,6,5,0,2,
Z505,电气系统测试,M,Z501;Z504,50,8,5,0.06,2,电气测试台
Z601,进气系统安装,A,Z302;A1004,50,8,6,0,2,扭矩扳手
Z602,尾喷管安装,A,Z302,55,8,6,0,2,扭矩扳手
Z603,反推装置安装,A,Z602,65,10,7,0,3,扭矩扳手
Z701,全机紧固件扭矩复检,M,Z406;Z505;Z601;Z603,80,12,5,0.04,3,扭矩扳手
Z702,全机间隙最终检查,M,Z701,60,10,5,0.05,2,塞尺
Z703,外观检查与清洁,M,Z702,45,6,4,0.02,2,
Z704,装配记录整理,D,Z703,30,5,3,0,1,
Q101,外形尺寸测量,M,Z704,50,8,4,0.03,2,测量工具
Q102,重心位置测量,M,Q101,40,6,4,0.03,2,重心测量台
Q103,转子自由转动检查,M,Q102,30,5,5,0.04,2,
Q104,附件安装位置检查,M,Q102,35,6,4,0.03,1,
Q201,燃油系统密封测试,M,Q103,55,8,5,0.06,2,气密检测台
Q202,滑油系统密封测试,M,Q103,50,8,5,0.06,2,气密检测台
Q203,液压系统密封测试,M,Q103,45,6,5,0.05,2,气密检测台
Q204,气路系统密封测试,M,Q103,50,8,5,0.06,2,气密检测台
Q301,试车台安装准备,H,Q104;Q201;Q202;Q203;Q204,50,8,6,0,3,试车台
Q302,发动机吊装上台,H,Q301,45,8,9,0,4,吊车;试车台
Q303,试车台连接,A,Q302,60,10,6,0,3,试车台
Q304,试车前系统检查,M,Q303,40,6,5,0.04,2,试车台
Q305,慢车启动测试,M,Q304,50,10,6,0.08,3,试车台
Q306,慢车稳态运行,M,Q305,60,12,5,0.06,3,试车台
Q307,低速振动测试,M,Q306,45,8,5,0.08,2,试车台;振动分析仪
Q308,低速数据记录,D,Q307,25,4,4,0,1,
Q401,高速加速测试,M,Q308,70,15,6,0.10,3,试车台
Q402,最大转速测试,M,Q401,60,12,6,0.10,3,试车台
Q403,高速振动测试,M,Q402,50,10,5,0.08,2,试车台;振动分析仪
Q404,高速稳态运行,M,Q403,80,15,5,0.08,3,试车台
Q405,减速响应测试,M,Q404,40,8,5,0.06,3,试车台
Q406,紧急停车测试,M,Q405,30,6,6,0.05,3,试车台
Q407,高速数据记录,D,Q406,30,5,4,0,1,
Q501,推力测量,M,Q407,60,10,5,0.06,2,试车台
Q502,耗油率测量,M,Q501,50,8,5,0.05,2,试车台
Q503,排气温度测量,M,Q502,40,6,5,0.05,2,试车台
Q504,压气机效率测量,M,Q503,45,8,5,0.06,2,试车台
Q505,综合性能评估,D,Q504,40,6,4,0,2,
Q601,发动机下台,H,Q505,45,8,8,0,4,吊车;试车台
Q602,试车后外观检查,M,Q601,50,8,4,0.04,2,检测台
Q603,试车后间隙复测,M,Q602,55,10,5,0.05,2,塞尺
Q604,试车后密封复测,M,Q603,45,8,5,0.05,2,气密检测台
Q605,试车后振动分析,D,Q604,40,6,4,0,2,
Q701,质量文件审核,D,Q605,45,6,3,0,2,
Q702,最终质量检验,M,Q701,50,8,4,0.03,2,检测台
Q703,客户预检,M,Q702,60,10,4,0.02,2,
Q704,问题整改,A,Q703,40,10,5,0,2,
Q705,包装防护,T,Q704,50,8,5,0,2,
Q706,出厂登记,D,Q705,15,3,3,0,1,扫码枪
Q707,发运准备,H,Q706,30,5,6,0,2,
